timestamp,First Name,Last Name,Email address,1. Elevation of Cotopaxi - 5%ile (0;inf) [m],1. Elevation of Cotopaxi - 50%ile (0;inf) [m],1. Elevation of Cotopaxi - 95%ile (0;inf) [m],2. People living close to Guagua Pichincha - 5%ile (0;inf) [n°],2. People living close to Guagua Pichincha - 50%ile (0;inf) [n°],2. People living close to Guagua Pichincha - 95%ile (0;inf) [n°],3. Percentage of VEI4+ eruptions at Cotopaxi - 5%ile (0;100) [%],3. Percentage of VEI4+ eruptions at Cotopaxi - 50%ile (0;100) [%],3. Percentage of VEI4+ eruptions at Cotopaxi - 95%ile (0;100) [%],4. Mean area of 10 cm isopach for Plinian eruptions at Cotopaxi - 5%ile (0;inf) [km2],4. Mean area of 10 cm isopach for Plinian eruptions at Cotopaxi - 50%ile (0;inf) [km2],4. Mean area of 10 cm isopach for Plinian eruptions at Cotopaxi - 95%ile (0;inf) [km2],5. Mean relative uncertainty of eruption duration for Layers 3-5 at Cotopaxi - 5%ile (0;inf) [%],5. Mean relative uncertainty of eruption duration for Layers 3-5 at Cotopaxi - 50%ile (0;inf) [%],5. Mean relative uncertainty of eruption duration for Layers 3-5 at Cotopaxi - 95%ile (0;inf) [%],6. Total SO2 production from Tungurahua at 14/07/2006 - 5%ile (0;inf) [ktons],6. Total SO2 production from Tungurahua at 14/07/2006 - 50%ile (0;inf) [ktons],6. Total SO2 production from Tungurahua at 14/07/2006 - 95%ile (0;inf) [ktons],7. Mean elongation direction of fallout deposits for Plinian eruption at Cotopaxi - 5%ile (0;540) [°],7. Mean elongation direction of fallout deposits for Plinian eruption at Cotopaxi - 50%ile (0;540) [°],7. Mean elongation direction of fallout deposits for Plinian eruption at Cotopaxi - 95%ile (0;540) [°],8. Volumetric percentage of andesites at Cotopaxi (last 0.5 Ma) - 5%ile (0;100) [%],8. Volumetric percentage of andesites at Cotopaxi (last 0.5 Ma) - 50%ile (0;100) [%],8. Volumetric percentage of andesites at Cotopaxi (last 0.5 Ma) - 95%ile (0;100) [%],9. Average amount of ash in BF2 layer of Pululagua - 5%ile (0;100) [wt%],9. Average amount of ash in BF2 layer of Pululagua - 50%ile (0;100) [wt%],9. Average amount of ash in BF2 layer of Pululagua - 95%ile (0;100) [wt%],10. Total volume of lava flow deposits of the 2002 eruption of Reventador - 5%ile (0;inf) [m3],10. Total volume of lava flow deposits of the 2002 eruption of Reventador - 50%ile (0;inf) [m3],10. Total volume of lava flow deposits of the 2002 eruption of Reventador - 95%ile (0;inf) [m3],11. Mean difference between min-max estimation of Terminal Fall Velocity - 5%ile (0;inf) [%],11. Mean difference between min-max estimation of Terminal Fall Velocity - 50%ile (0;inf) [%],11. Mean difference between min-max estimation of Terminal Fall Velocity - 95%ile (0;inf) [%],12. Mean wt% of Na2O+K2O of Guagua Pichincha products (last 55 ka years) - 5%ile (0;100) [wt%],12. Mean wt% of Na2O+K2O of Guagua Pichincha products (last 55 ka years) - 50%ile (0;100) [wt%],12. Mean wt% of Na2O+K2O of Guagua Pichincha products (last 55 ka years) - 95%ile (0;100) [wt%],13. Mean difference between min-max estimation of plume heights for the August 2006 eruption at Tungurahua - 5%ile (0;inf) [m],13. Mean difference between min-max estimation of plume heights for the August 2006 eruption at Tungurahua - 50%ile (0;inf) [m],13. Mean difference between min-max estimation of plume heights for the August 2006 eruption at Tungurahua - 95%ile (0;inf) [m],14. Mean value of porosity for 1999 eruption of Guagua Pichincha - 5%ile (0;100) [%],14. Mean value of porosity for 1999 eruption of Guagua Pichincha - 50%ile (0;100) [%],14. Mean value of porosity for 1999 eruption of Guagua Pichincha - 95%ile (0;100) [%]
2023-03-14-15-51-32,Stefano,Palermo,StefanoPalermo@jourrapide.com,5840.0,5900.0,5950.0,1000000.0,3000000.0,6000000.0,30.0,60.0,70.0,500.0,3700.0,8000.0,5.0,15.0,50.0,10.0,12.0,14.0,90.0,270.0,360.0,20.0,30.0,60.0,5.0,30.0,70.0,10000.0,20000000.0,50000000.0,5.0,20.0,80.0,2.0,5.0,10.0,200.0,3000.0,20000.0,30.0,40.0,50.0
2023-03-14-15-45-04,Vincenza,Romani,VincenzaRomani@jourrapide.com,5000.0,5500.0,6000.0,500000.0,2000000.0,5000000.0,20.0,35.0,60.0,200.0,1000.0,5000.0,25.0,50.0,150.0,10.0,100.0,10000.0,180.0,270.0,360.0,10.0,20.0,50.0,35.0,60.0,75.0,100000.0,1000000.0,10000000.0,40.0,60.0,90.0,7.0,15.0,23.0,500.0,1000.0,1700.0,10.0,30.0,45.0
2023-03-14-15-33-26,Berardo,Folliero,BerardoFolliero@jourrapide.com,5980.0,5990.0,6000.0,2500000.0,3000000.0,4000000.0,22.0,25.0,35.0,80.0,120.0,160.0,20.0,60.0,80.0,1.0,10.0,20.0,230.0,270.0,310.0,50.0,75.0,85.0,60.0,70.0,75.0,5000000.0,10000000.0,30000000.0,20.0,30.0,60.0,5.0,6.0,8.0,2000.0,3000.0,4000.0,20.0,50.0,70.0
2023-03-14-15-21-29,Ileana,Lucchese,IleanaLucchese@dayrep.com,5860.0,5940.0,5990.0,1500000.0,3000000.0,7000000.0,10.0,25.0,50.0,15.0,150.0,350.0,15.0,30.0,60.0,1.0,10.0,100.0,230.0,270.0,300.0,50.0,70.0,85.0,10.0,50.0,70.0,100000.0,5000000.0,50000000.0,20.0,30.0,70.0,4.0,7.0,9.0,1000.0,3000.0,6000.0,30.0,50.0,70.0
2023-03-14-15-16-03,Diamante,Fallaci,DiamanteFallaci@teleworm.us,4500.0,5200.0,6500.0,1000000.0,4000000.0,15000000.0,10.0,30.0,80.0,1000.0,2500.0,12000.0,5.0,30.0,80.0,1.0,30.0,1000.0,180.0,270.0,360.0,5.0,30.0,60.0,20.0,50.0,80.0,1000000.0,10000000.0,100000000.0,5.0,30.0,80.0,5.0,20.0,30.0,500.0,2000.0,5000.0,10.0,50.0,90.0
2023-03-14-15-11-07,Mafalda,Trentino,MafaldaTrentino@armyspy.com,5400.0,5900.0,6100.0,800000.0,3000000.0,4000000.0,5.0,10.0,25.0,4000.0,8000.0,320000.0,50.0,100.0,200.0,0.1,1.0,15.0,240.0,300.0,360.0,20.0,35.0,60.0,20.0,40.0,70.0,100000.0,1000000.0,100000000.0,25.0,75.0,100.0,1.0,7.0,12.0,1000.0,3000.0,3500.0,8.0,15.0,40.0
2023-03-14-09-14-20,Alberta,Moretti,AlbertaMoretti@jourrapide.com,5500.0,6000.0,6700.0,2700000.0,3000000.0,3500000.0,15.0,25.0,40.0,1000.0,6000.0,10000.0,10.0,30.0,60.0,50.0,100.0,1000.0,230.0,270.0,310.0,30.0,50.0,70.0,25.0,40.0,50.0,10000.0,100000.0,1000000.0,50.0,70.0,90.0,5.0,10.0,20.0,2000.0,4000.0,6000.0,30.0,50.0,70.0
2023-03-13-12-53-27,Salvo,Moretti,SalvoMoretti@teleworm.us,5890.0,5900.0,5900.0,2200000.0,2700000.0,3500000.0,15.0,25.0,40.0,800.0,1200.0,2500.0,20.0,50.0,100.0,20.0,35.0,50.0,250.0,300.0,315.0,60.0,80.0,90.0,40.0,60.0,85.0,30000000.0,60000000.0,100000000.0,25.0,75.0,150.0,3.0,4.5,6.5,1000.0,2000.0,4000.0,15.0,25.0,45.0
2023-03-13-12-37-09,Augusta,Castiglione,AugustaCastiglione@armyspy.com,5950.0,5980.0,6000.0,2500000.0,3000000.0,3500000.0,40.0,60.0,80.0,100.0,300.0,900.0,5.0,20.0,30.0,10.0,12.0,15.0,250.0,270.0,290.0,10.0,20.0,40.0,70.0,80.0,90.0,1000000.0,1500000.0,3000000.0,17.0,50.0,60.0,3.0,4.5,6.0,100.0,500.0,1000.0,5.0,20.0,40.0
2023-03-13-12-16-55,Ermenegildo,Pisani,ErmenegildoPisani@teleworm.us,5850.0,5900.0,5950.0,1500000.0,2500000.0,3500000.0,30.0,40.0,50.0,500.0,1000.0,2000.0,5.0,25.0,90.0,10.0,12.0,30.0,250.0,270.0,300.0,10.0,25.0,50.0,40.0,60.0,80.0,500000000.0,750000000.0,1000000000.0,1.0,10.0,50.0,4.0,6.0,7.0,500.0,2000.0,5000.0,1.0,5.0,10.0
2023-03-13-12-09-05,Aloisia,Panicucci,AloisiaPanicucci@rhyta.com,3900.0,5000.0,6100.0,1000000.0,2800000.0,4000000.0,15.0,30.0,45.0,250.0,2500.0,10000.0,10.0,40.0,70.0,2.0,10.0,30.0,190.0,270.0,350.0,5.0,35.0,55.0,50.0,70.0,95.0,500000.0,10000000.0,500000000.0,30.0,70.0,100.0,2.0,10.0,20.0,300.0,1500.0,4000.0,5.0,20.0,60.0
2023-03-13-10-28-27,Gaetano,Lucchese,GaetanoLucchese@dayrep.com,5500.0,5800.0,6500.0,1000000.0,2000000.0,3000000.0,10.0,50.0,70.0,100.0,1200.0,4000.0,5.0,20.0,50.0,10.0,100.0,1000.0,45.0,90.0,135.0,20.0,50.0,80.0,50.0,60.0,80.0,10000.0,100000.0,1000000.0,5.0,20.0,50.0,4.0,8.0,12.0,1000.0,5000.0,10000.0,30.0,70.0,90.0
2023-03-10-18-16-48,Regina,Lothran,ReginaLothran@rhyta.com,400.0,2200.0,6000.0,4000.0,26000.0,100000.0,2.0,8.0,20.0,5.0,50.0,250.0,5.0,35.0,85.0,10.0,100.0,1000.0,5.0,75.0,355.0,5.0,70.0,90.0,3.0,30.0,75.0,500.0,50000.0,50000000.0,30.0,66.0,90.0,2.0,25.0,75.0,10.0,500.0,1000.0,0.1,7.0,33.0
2023-03-10-18-13-12,Daisy,Hayward,DaisyHayward@dayrep.com,5750.0,5850.0,5900.0,2000000.0,3000000.0,3500000.0,25.0,40.0,50.0,4000.0,6000.0,7000.0,5.0,10.0,20.0,15.0,30.0,40.0,225.0,280.0,315.0,50.0,65.0,75.0,20.0,35.0,45.0,15000000.0,30000000.0,40000000.0,20.0,30.0,50.0,15.0,25.0,30.0,1000.0,2000.0,4000.0,20.0,30.0,50.0
2023-03-10-18-08-49,Peony,Grubb,PeonyGrubb@dayrep.com,5664.0,5864.0,5964.0,2000000.0,3000000.0,4000000.0,25.0,75.0,80.0,500.0,2000.0,9000.0,0.5,7.0,60.0,2.0,400.0,4000.0,110.0,195.0,210.0,50.0,75.0,90.0,7.0,12.0,60.0,5000000.0,12000000.0,25000000.0,1.0,21.0,90.0,55.0,66.0,70.0,3.0,10.0,100.0,1.0,25.0,75.0
2023-03-10-18-05-18,Esmeralda,Hayward,EsmeraldaHayward@jourrapide.com,5894.0,5896.0,5898.0,2300000.0,2500000.0,3000000.0,10.0,15.0,18.0,200.0,500.0,800.0,5.0,25.0,50.0,29.0,30.0,33.0,270.0,280.0,290.0,20.0,30.0,50.0,20.0,30.0,40.0,25000000.0,30000000.0,35000000.0,60.0,70.0,90.0,10.0,14.0,18.0,8000.0,10000.0,13000.0,0.5,2.0,4.0
2023-03-10-17-59-39,Dina,Diggle,DinaDiggle@teleworm.us,5895.0,5897.0,6000.0,1000000.0,2000000.0,3000000.0,1.0,5.0,15.0,1000.0,2000.0,5000.0,1.0,20.0,70.0,3.0,10.0,50.0,190.0,300.0,365.0,10.0,20.0,60.0,3.0,25.0,70.0,100.0,500.0,3000.0,0.01,25.0,80.0,1.0,10.0,50.0,1000.0,4300.0,12000.0,0.01,15.0,80.0
